chunk_id,resolved_text,unresolved_mentions,pipeline_signature
a5a8b0ece135c638d4f0::c0000,ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises. ServiceNow NVIDIA and Accenture today announced the launch of AI Lighthouse a first-of-its-kind program designed,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
531b5c0beb405c822e6c::c0000,ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT. ServiceNow and NVIDIA today announced a partnership to develop powerful enterprise-grade generative AI capabilities that can transform business processes with faster more intelligent workflow automation.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
8dbd50499a511691151c::c0000,Knowledge 2023 - ServiceNow looks beyond general purpose generative AI to domain-specific use cases. ServiceNow has this week revealed how it is planning to capitalize on the recent rapid advancements seen in the field of generative AI using large language models (LLMs) - showcasing some of the potential use cases live on stage during its second Knowledge 2023 keynote in Las Vegas this week.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
201da7854b95e5ee4a3a::c0000,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways. L&T Technology Services Limited (BSE: 540115 ... 28 global sales offices and 91 innovation labs as of December 31 2022. For more information please visit www.LTTS.com About Thales Thales (Euronext Paris: HO) is a global leader in advanced technologies ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
e0ebf26fe86416644315::c0000,A Leap in Connectivity: Aeris Acquires Technologies from Ericsson to Support Cellular IoT. After signing a recent agreement Aeris has acquired Ericsson''s IoT Accelerator and Connected Vehicle Cloud businesses to connect more than 100 million IoT devices for 9000 enterprises across 190 countries.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
9327e9c95eaa66cb4b94::c0000,OpenAI readies new open-source AI model The Information reports. May 15 (Reuters) - OpenAI is preparing to release a new open-source language model to the public The Information reported on Monday citing a person with knowledge of the plan. OpenAI''s ChatGPT ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
a2fe2cc636f39a18f032::c0000,Options Announces Achievement of Microsoft Infrastructure Solutions Partner Status. Options Technology the leading provider of cloud-enabled managed services to the global capital markets today announced its achievement of Microsoft Solutions Partner designation for Infrastructure.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
f73febf774301e802436::c0000,Options Named Microsoft Solutions Partner for Security. Options Technology the leading provider of cloud-enabled managed services to the global capital markets today announced its achievement of Microsoft Solutions Partner designation for Security.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
888196b6e1e07e67c3ae::c0000,ServiceNow Expands Generative AI Capabilities With Case Summarization and Text-to-Code to Drive Speed Productivity and Value. Case summarization and text-to-code join ServiceNow''s growing Now Assist family of generative AI features being infused into the ServiceNow platform across all workflow offerings. ServiceNow has already seen significant productivity improvements for customers using early access versions of its previously announced generative AI capabilities,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
beb99568ed4b0bdd0c49::c0000,Snowflake beats quarterly estimates on strong demand for data management services. Enterprises are increasingly moving their data and infrastructure to the cloud to improve efficiency helping cloud-related services companies. Snowflake offers products and services that clients ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
5d479b59c6d424d4a679::c0000,ServiceNow extends its AI capabilities with Now Assist for Virtual Agent. During the event ServiceNow introduced several new generative AI features for its platform. Now Assist for Virtual Agent builds on those features. ServiceNow’s namesake cloud platform helps information technology teams manage their day-to-day work.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
84b909fc526ba22d835f::c0000,ServiceNow Unveils Generative AI Solution With Real-Time Conversational Experiences For Self-Service. The process will help users get the information formatted to best suit the answer (i.e. text links images videos relevant portions of knowledge base articles). Now Assist for Virtual Agent is powered by ServiceNow Generative AI Controller.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
f8d4c1e3cfe2f61e23f7::c0000,Aeris to acquire IoT business from Ericsson. Highlights Ericsson''s IoT Accelerator and Connected Vehicle Cloud businesses and related assets to be transferred to Aeris. Through the transaction Aeris will become a m. . .,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
e826dd76339fcf0d6a9b::c0000,From multicloud challenges to ‘cloud-smart’ solutions: How Dell is simplifying multicloud complexity. By embracing a portfolio approach Dell Technologies Inc. aims to simplify operations address skills gaps and support customers’ diverse needs. The new Apex Cloud Platforms integrates services from Microsoft Azure,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
3ddab1f0287c42d1f378::c0000,Microsoft says early June service outages were cyberattacks. REUTERS/Mike Blake June 17 (Reuters) - Microsoft said on Friday that the outages that affected certain services of the company through some of the earlier days of this month were the result of ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
264d1b9d346656ddf765::c0000,OpenAI plans app store for AI software The Information reports. plans to launch a marketplace that will allow developers to sell their AI models built on top of its own AI technology news site the Information reported on Tuesday citing people with knowledge ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
6a5730b76e8157e83d44::c0000,Microsoft adds AI tools to Outlook Word. Microsoft is infusing artificial intelligence tools into its Office software including Word Excel and Outlook emails. The company said Thursday the new feature named Copilot is a processing engine that will allow users to do things like summarize long emails,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
7459e2686b458186eea9::c0000,Microsoft pays $20 million settlement for collecting children’s data. Hung onto for rather a long time tooMicrosoft has agreed to pay $20 million to settle charges by the Federal Trade Commission (FTC) that it illegally collected personal information from children without parental consent and retained it for extended periods.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
6ec376fffd2c56fef630::c0000,Exclusive: Amazon has drawn thousands to try its AI service competing with Microsoft Google. The company also announced new AI tools on Wednesday including a program for building more conversational customer-service agents technology access from the startup Cohere and a healthcare ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
b432186d8fe246dc1fab::c0000,Amazon has drawn thousands to try its AI service competing with Microsoft Google. The company also announced new AI tools on Wednesday including a program for building more conversational customer-service agents technology access from the startup Cohere and a healthcare system for generating clinical notes after a patient visit.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
6ae9fe65e4bfd7a1f9b8::c0000,Microsoft says early June disruptions to Outlook cloud platform were cyberattacks. A shadowy hacktivist group claimed responsibility saying it flooded the sites with junk traffic in distributed denial-of-service attacks.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
8f13d5e3ad34b056f423::c0000,The Coolest Big Data System And Cloud Platform Companies Of The 2023 Big Data 100. The coolest big data system and cloud platform companies of the CRN Big Data 100 including AWS Google Cloud IBM Microsoft and Snowflake.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
ec3ce18d568e33867724::c0000,Exclusive: Amazon's cloud unit is considering AMD's new AI chips. Amazon Web Services the world''s largest cloud computing provider is considering using new artificial intelligence chips from Advanced Micro Devices Inc though it has not made a final decision an AWS executive told Reuters.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
3a5ed6555cadb4149f58::c0000,Microsoft’s unified Copilot is coming to Windows Edge and everywhere else. Microsoft Copilot for Windows launches September 26th and unifies several formerly separate Copilot assistants.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
35f9e232b3c44ebab014::c0000,KPMG to invest $2 billion in AI cloud services. July 11 (Reuters) - KPMG said on Tuesday it will spend $2 billion on artificial intelligence and cloud services through an expanded partnership with Microsoft (MSFT.O) closely following Accenture ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
393ca665492ed7e05ec2::c0000,Microsoft Says Early June Disruptions to Outlook Cloud Platform Were Cyberattacks. BOSTON (AP) — In early June sporadic but serious service disruptions plagued Microsoft''s flagship office suite — including the Outlook email and OneDrive file-sharing apps — and cloud computing platform. A shadowy hacktivist group claimed responsibility saying it flooded the sites with junk traffic in distributed denial-of-service attacks.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
2b93beef6173b1d20f74::c0000,HPE to offer cloud computing service for artificial intelligence. said the company will use its experience in supercomputers to offer a service specifically for what are called large language models the technology behind services like ChatGPT. “We see it as complementary and very different than what our fellow cloud ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
58db98954545778fead9::c0000,More tech companies take White House AI safety pledge. IBM Adobe Salesforce and five more tech companies are making voluntary safety security and transparency commitments to the White House related to their use of artificial intelligence. Why it matters: The pledges are similar to those made in July by OpenAI,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
faa5aa220169e034c02b::c0000,Microsoft opens top cloud data processing hub in Poland. Microsoft and Poland’s officials say that the IT giant has launched a top-notch hub for cloud data storage and processing in central Poland,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
7d21e479ed47024a21cd::c0000,3 Best Cloud Stocks to Buy in June. Microsoft''s market share in cloud computing puts it second with the potential to surpass the competition. AMD is powering multiple cloud services through its chips. Alphabet shares are a bargain compared to those of other cloud companies. These companies ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
34a3ead45e1aca83fa4a::c0000,The White House and big tech companies release commitments on managing AI. Seven tech companies including Google Meta and OpenAI have voluntarily made commitments on developing and managing artificial intelligence. But there isn''t much accountability in the process.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
d6614d10117d6d80778e::c0000,Google Cloud Kicks Off Next '23 with a New Way to Cloud. New models: Google Cloud is announcing availability of Llama 2 and Code Llama from Meta and Technology Innovative Institute''s Falcon LLM a popular open-source model as well as pre-announcing Claude 2 from Anthropic. Google Cloud will be the only cloud provider offering both adapter tuning and RLHF for Llama 2.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
64f859127d105927b7dc::c0000,"As chatbots boom Nvidia sales outlook beats Wall Street expectations. The logo of technology company Nvidia is seen at its headquarters in ... on Wednesday as its CEO said use of its chips to power artificial intelligence (AI) services like chatbots had '""gone through the roof in the last 60 days.'"" The sales outlook drove ...",['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
5d162210c58b91f6a091::c0000,H2O.ai Brings H2O AI Cloud to the Snowflake Manufacturing Data Cloud. H2O.ai today announced the launch of H2O AI Cloud as a pre-built solution for the Manufacturing Data Cloud launched by Snowflake the Data Cloud company. The Manufacturing Data Cloud enables companies in automotive,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
0f5fa36a88eaffbb32a0::c0000,Microsoft unveils OpenAI service for government customers. The company unveiled its new Azure OpenAI Service for federal agencies ... for government cloud operations” Bill Chappell chief technology officer for Strategic Missions and Technologies ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
73f6d5535f26475909a8::c0000,Intel: Our 3D V-Cache Tech Will Take a Different Approach Than AMD. The company plans to use the chip-stacking tech for Intel processors and offer it to third-party customers contracting with Intel's foundry business.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
d3aec9a183518a21016a::c0000,OpenAI's ChatGPT gets support for a dozen application plug-ins. The plug-ins will enable companies to offer the AI-based natural language processor for their products allowing users to ask detailed questions and get human-like answers.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
574a610073dca3212ec1::c0000,Projects become products: Dell unveils its long-term game plan for the edge. When Dell Technologies Inc. places the word “project” in front of a new initiative it’s sending up a signal flare that starts the clock toward emergence of a new product or platform the next year. The other major news at Dell Technologies World in Las Vegas today was the release of Dell NativeEdge,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
325f8db4aaab2eaf00b9::c0000,Hewlett Packard Enterprise Fortifies Network Security With Acquisition of Security Service Edge Provider Axis Security. Hewlett Packard Enterprise (NYSE: HPE) today announced that it entered into a definitive agreement to acquire Axis Security a cloud security provider. This acquisition will allow HPE to expand its edge-to-cloud security capabilities by offering a unified Secure Access Services Edge (SASE) solution to meet the increasing demand for integrated networking and security solutions delivered as-a-service.,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
700b1c6b9fb241a4301f::c0000,"Microsoft could offer private ChatGPT to businesses for “10 times” the normal cost. The product which could be announced '""later this quarter'"" would run ChatGPT on dedicated servers separate from the ones used by other companies or other individual users using the versions of ChatGPT that Microsoft is baking into Edge",['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
a824597a7a8a77518185::c0000,Networking and communication. Dell’s NativeEdge platform could make it easier to deploy and manage edge computing applications and infrastructure through validated designs for industry-specific applications use cases ...,['NOT_RUN_SCALE_GUARD'],gold51-coref5-gptoss20b-strict-v2
