type,left,right,similarity,decision,reason
Company,NVIDIA,Microsoft,0.39002248644828796,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Accenture,Cohere,0.34593096375465393,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Accenture,Aeris,0.34558308124542236,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Accenture,Aqara,0.2890155017375946,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Thales,Cohere,0.3367618918418884,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Qualcomm,Dell Technologies Inc.,0.44213569164276123,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Qualcomm,Intel,0.35287562012672424,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Qualcomm,Samsung,0.347638875246048,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Qualcomm,Hewlett Packard Enterprise,0.3375992476940155,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Aeris,Intel,0.34306907653808594,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Options Technology,Microsoft,0.3350493907928467,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Options Technology,L&T Technology Services Limited,0.3128429651260376,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Options Technology,Strategic Missions and Technologies,0.30033132433891296,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Options Technology,Intel,0.26863640546798706,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Microsoft,Intel,0.49679845571517944,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Microsoft,Hewlett Packard Enterprise,0.48828452825546265,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Microsoft,Dell Technologies Inc.,0.46343666315078735,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Dell Technologies Inc.,Hewlett Packard Enterprise,0.5584796071052551,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Dell Technologies Inc.,Intel,0.4813985824584961,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Amazon,Amazon Web Services,0.6469885110855103,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Amazon,Microsoft,0.4407409429550171,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Amazon,Google Cloud,0.4173140525817871,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Cohere,HPE,0.3436785936355591,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Amazon Web Services,Google Cloud,0.48828262090682983,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Amazon Web Services,Samsung,0.3391537070274353,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,KPMG,Keysight,0.2928478717803955,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,KPMG,Qualcomm,0.28580164909362793,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,KPMG,Synopsys,0.2743110954761505,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,KPMG,Google Cloud,0.271373987197876,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,HPE,Hewlett Packard Enterprise,0.5636537075042725,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,HPE,Microsoft,0.3877531588077545,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,HPE,Intel,0.38420599699020386,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,AMD,Intel,0.5434035658836365,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,AMD,Hewlett Packard Enterprise,0.4055631458759308,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,AMD,Dell Technologies Inc.,0.34834930300712585,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Google Cloud,Microsoft,0.39809566736221313,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Google Cloud,Samsung,0.38695329427719116,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Strategic Missions and Technologies,Dell Technologies Inc.,0.3120186924934387,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Strategic Missions and Technologies,Palo Alto Networks,0.30172109603881836,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Strategic Missions and Technologies,Axis Security,0.2824137806892395,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Intel,Hewlett Packard Enterprise,0.4771357476711273,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Axis Security,Aeris Communications,0.24568253755569458,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Axis Security,Synopsys,0.22522732615470886,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Company,Axis Security,Microsoft,0.21429601311683655,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,ChatGPT technology,ChatGPT plug-ins,0.8020681142807007,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,ChatGPT technology,Microsoft Copilot for Windows,0.3717013895511627,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,ChatGPT technology,IoT business from Ericsson,0.24840304255485535,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,ChatGPT technology,OLED display with embedded heart rate sensor,0.18634210526943207,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,OLED display with embedded heart rate sensor,Advanced Micro Devices Inc new AI chips,0.21392199397087097,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,OLED display with embedded heart rate sensor,IoT business from Ericsson,0.18794158101081848,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,OLED display with embedded heart rate sensor,ChatGPT plug-ins,0.16346320509910583,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Generative AI Features,AI tools,0.5819380283355713,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Generative AI Features,AI models,0.5807324647903442,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Generative AI Features,ServiceNow Generative AI Controller,0.5360735654830933,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Generative AI Features,Advanced Micro Devices Inc new AI chips,0.2673534154891968,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Now Assist for Virtual Agent,AI tools,0.3457968533039093,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Now Assist for Virtual Agent,ServiceNow Generative AI Controller,0.3013913333415985,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Now Assist for Virtual Agent,AI models,0.2984347939491272,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Now Assist for Virtual Agent,Microsoft Azure,0.2746984362602234,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,ServiceNow Generative AI Controller,AI models,0.4478420913219452,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,ServiceNow Generative AI Controller,AI tools,0.40109965205192566,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,ServiceNow Generative AI Controller,cloud computing service for artificial intelligence,0.3149246275424957,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,IoT business from Ericsson,Azure OpenAI Service,0.333596408367157,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,IoT business from Ericsson,Microsoft Azure,0.3254672586917877,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,IoT business from Ericsson,cloud data processing hub,0.3186165988445282,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,IoT business from Ericsson,Apex Cloud Platforms,0.2947843372821808,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Apex Cloud Platforms,cloud data processing hub,0.5131891965866089,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Apex Cloud Platforms,cloud computing service for artificial intelligence,0.5030000805854797,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Apex Cloud Platforms,Microsoft Azure,0.42967933416366577,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Microsoft Azure,Azure OpenAI Service,0.6016390323638916,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Microsoft Azure,cloud computing service for artificial intelligence,0.41878998279571533,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Microsoft Azure,cloud data processing hub,0.3927563428878784,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,AI models,AI tools,0.7416542768478394,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,AI models,cloud computing service for artificial intelligence,0.3674183189868927,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,AI tools,Advanced Micro Devices Inc new AI chips,0.513198733329773,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,AI tools,cloud computing service for artificial intelligence,0.40444350242614746,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Advanced Micro Devices Inc new AI chips,AI models,0.36406129598617554,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Advanced Micro Devices Inc new AI chips,chips,0.336961567401886,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Advanced Micro Devices Inc new AI chips,Dell NativeEdge,0.33106517791748047,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Microsoft Copilot for Windows,ChatGPT plug-ins,0.29525893926620483,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Microsoft Copilot for Windows,Microsoft Azure,0.27151942253112793,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Microsoft Copilot for Windows,Dell NativeEdge,0.23684512078762054,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,cloud computing service for artificial intelligence,cloud data processing hub,0.5529700517654419,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,cloud data processing hub,Azure OpenAI Service,0.32809996604919434,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,chips,Falcon,0.39915624260902405,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,chips,Dell NativeEdge,0.24893341958522797,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,chips,AI tools,0.20009924471378326,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Llama 2,Code Llama,0.7835338115692139,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Llama 2,Falcon,0.32734960317611694,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Llama 2,Microsoft Azure,0.2609720826148987,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Llama 2,Claude 2,0.2480434626340866,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Code Llama,Falcon,0.2812076210975647,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Code Llama,Microsoft Azure,0.23273687064647675,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Code Llama,ServiceNow Generative AI Controller,0.22537803649902344,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Falcon,Dell NativeEdge,0.2102641612291336,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Claude 2,Now Assist for Virtual Agent,0.21258021891117096,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Claude 2,AI models,0.21096810698509216,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Claude 2,chips,0.18519343435764313,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Azure OpenAI Service,cloud computing service for artificial intelligence,0.3827144205570221,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,3D V-Cache Tech,Dell NativeEdge,0.26649853587150574,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,3D V-Cache Tech,Apex Cloud Platforms,0.26281577348709106,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,3D V-Cache Tech,Now Assist for Virtual Agent,0.23642796277999878,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,3D V-Cache Tech,Advanced Micro Devices Inc new AI chips,0.2334771305322647,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,ChatGPT plug-ins,IoT business from Ericsson,0.18869292736053467,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
Technology,Dell NativeEdge,Microsoft Azure,0.3330269455909729,REJECT_GUARD,BELOW_VECTOR_THRESHOLD
